node_id,cycle_id,FFc,dFF,rho_recv,tau,lambda_t_norm,is_attacker
188,6,1.0,0.8,1.0,1.0,0.008,0
194,6,1.0,0.5833,1.0,1.0,0.008,0
195,6,1.0,1.0,0.92855,1.0,0.008,1
197,6,0.0,0.0,1.0,1.0,0.008,1
198,6,1.0,0.0,1.0,1.0,0.008,0
207,6,1.0,0.0,1.0,1.0,0.008,0
208,6,1.0,0.0,1.0,1.0,0.008,1
218,6,1.0,0.0718,1.0,1.0,0.008,0
220,6,1.0,0.0,1.0,1.0,0.008,0
226,6,1.0,1.0,1.0,1.0,0.008,1
228,6,0.0,0.0,1.0,1.0,0.008,1
229,6,1.0,0.0606,1.0,1.0,0.008,0
230,6,1.0,0.0549,0.9286,1.0,0.008,0
231,6,1.0,0.0714,1.0,1.0,0.008,0
237,6,1.0,0.0,1.0,1.0,0.008,0
239,6,1.0,0.0,1.0,1.0,0.008,0
240,6,1.0,0.2667,1.0,1.0,0.008,0
241,6,1.0,0.0,1.0,1.0,0.008,0
242,6,1.0,0.0,1.0,1.0,0.008,0
247,6,1.0,0.0,1.0,1.0,0.008,0
251,6,1.0,0.303,1.0,1.0,0.008,0
252,6,1.0,0.0,1.0,1.0,0.008,0
258,6,1.0,0.5217,1.0,1.0,0.008,0
259,6,0.0,0.0,1.0,1.0,0.008,1
260,6,1.0,0.3889,1.0,1.0,0.008,0
261,6,1.0,0.1667,1.0,1.0,0.008,0
1,7,1.0,0.0,0.3333,1.0,0.002,0
3,7,1.0,0.0,1.0,1.0,0.002,1
5,7,0.0,0.0,1.0,1.0,0.002,1
6,7,1.0,0.3333,1.0,1.0,0.002,0
12,7,0.0,0.0,0.2857,1.0,0.002,1
13,7,1.0,0.0,1.0,1.0,0.002,0
23,7,1.0,0.0,1.0,1.0,0.002,0
28,7,1.0,0.0,1.0,1.0,0.002,0
30,7,1.0,0.0,1.0,1.0,0.002,0
31,7,0.9523999999999999,0.5357,0.5714,1.0,0.002,1
37,7,1.0,0.0,1.0,1.0,0.002,1
38,7,1.0,0.0,1.0,1.0,0.002,0
41,7,0.0635,0.9444,0.7659,1.0,0.002,1
42,7,1.0,0.0,1.0,1.0,0.002,0
44,7,1.0,0.0,0.5,1.0,0.002,0
56,7,1.0,0.0,1.0,1.0,0.002,0
57,7,1.0,0.0,1.0,1.0,0.002,0
60,7,1.0,0.0,1.0,1.0,0.002,0
62,7,1.0,0.14,0.8,1.0,0.002,0
64,7,1.0,0.0,0.52,1.0,0.002,0
67,7,0.0,0.0,1.0,1.0,0.002,1
70,7,1.0,0.8571,1.0,1.0,0.002,0
73,7,1.0,0.1,1.0,1.0,0.002,0
75,7,1.0,0.25,1.0,1.0,0.002,0
77,7,1.0,0.375,1.0,1.0,0.002,1
79,7,1.0,0.8333,1.0,1.0,0.002,0
108,7,1.0,0.3333,1.0,1.0,0.002,0
110,7,1.0,0.0,1.0,1.0,0.002,1
111,7,1.0,0.0,1.0,1.0,0.002,0
112,7,1.0,0.1333,1.0,1.0,0.002,0
118,7,1.0,0.0,1.0,1.0,0.002,0
121,7,1.0,0.5455,1.0,1.0,0.002,0
122,7,1.0,1.0,1.0,1.0,0.002,1
123,7,1.0,0.0,1.0,1.0,0.002,0
126,7,1.0,0.0,1.0,1.0,0.002,0
127,7,0.0,0.0,1.0,1.0,0.002,1
130,7,1.0,0.0,1.0,1.0,0.002,0
132,7,1.0,0.0,1.0,1.0,0.002,1
134,7,1.0,0.0,1.0,1.0,0.002,0
136,7,1.0,0.0,1.0,1.0,0.002,1
137,7,1.0,0.75,1.0,1.0,0.002,0
139,7,1.0,0.0,1.0,1.0,0.002,0
140,7,1.0,0.6667,1.0,1.0,0.002,0
143,7,1.0,0.0,1.0,1.0,0.002,0
152,7,0.5,0.625,1.0,1.0,0.002,1
154,7,1.0,0.0,1.0,1.0,0.002,1
155,7,1.0,0.1667,1.0,1.0,0.002,0
156,7,1.0,0.0,1.0,1.0,0.002,0
158,7,1.0,0.6667,1.0,1.0,0.002,0
168,7,1.0,0.7,1.0,1.0,0.002,1
171,7,1.0,0.3,1.0,1.0,0.002,0
182,7,1.0,0.0,1.0,1.0,0.002,1
