time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms
104.0000,23,187,12,56,0.2922,0.0609,0.6573,0.4045,0.3137,641.5759,0.0000,0.0000,0.7078,0.9391,0.7234,20.5358
104.5000,23,186,13,56,0.2938,0.0659,0.6405,0.4028,0.3050,641.5759,0.0000,0.0000,0.7063,0.9341,0.7206,20.2395
105.0000,22,186,13,57,0.2812,0.0694,0.6186,0.3867,0.2847,641.5759,0.0000,0.0000,0.7188,0.9306,0.7142,22.0610
105.5000,23,188,11,56,0.2883,0.0597,0.6589,0.4011,0.3123,641.5759,0.0000,0.0000,0.7117,0.9403,0.7230,20.5290
106.0000,23,188,11,56,0.2891,0.0594,0.6607,0.4022,0.3137,641.5759,0.0000,0.0000,0.7109,0.9406,0.7234,19.1145
106.5000,22,187,12,57,0.2781,0.0616,0.6438,0.3884,0.2974,641.5759,0.0000,0.0000,0.7219,0.9384,0.7183,21.6578
107.0000,23,186,13,56,0.2883,0.0656,0.6373,0.3970,0.2998,641.5759,0.0000,0.0000,0.7117,0.9344,0.7190,18.6832
107.5000,23,186,13,56,0.2922,0.0666,0.6371,0.4006,0.3021,641.5759,0.0000,0.0000,0.7078,0.9334,0.7197,19.3270
108.0000,25,188,11,54,0.3211,0.0581,0.6884,0.4379,0.3496,641.5759,0.0000,0.0000,0.6789,0.9419,0.7349,18.0965
108.5000,23,185,14,56,0.2938,0.0737,0.6144,0.3975,0.2894,641.5759,0.0000,0.0000,0.7063,0.9263,0.7154,19.1468
109.0000,23,187,12,56,0.2977,0.0634,0.6524,0.4088,0.3143,641.5759,0.0000,0.0000,0.7023,0.9366,0.7236,21.7623
109.5000,21,187,12,58,0.2719,0.0631,0.6327,0.3803,0.2874,641.5759,0.0000,0.0000,0.7281,0.9369,0.7152,21.4847
110.0000,23,186,13,56,0.2945,0.0672,0.6368,0.4028,0.3033,641.5759,0.0000,0.0000,0.7055,0.9328,0.7201,20.8007
110.5000,24,186,13,55,0.3070,0.0672,0.6464,0.4163,0.3164,641.5759,0.0000,0.0000,0.6930,0.9328,0.7242,19.7351
111.0000,23,187,12,56,0.2977,0.0619,0.6580,0.4099,0.3175,641.5759,0.0000,0.0000,0.7023,0.9381,0.7246,22.2376
111.5000,23,185,14,56,0.2891,0.0734,0.6116,0.3926,0.2850,641.5759,0.0000,0.0000,0.7109,0.9266,0.7141,21.7667
112.0000,22,186,13,57,0.2805,0.0663,0.6287,0.3879,0.2902,641.5759,0.0000,0.0000,0.7195,0.9337,0.7160,18.8537
112.5000,22,186,13,57,0.2789,0.0684,0.6198,0.3847,0.2841,641.5759,0.0000,0.0000,0.7211,0.9316,0.7140,20.7052
113.0000,20,187,12,59,0.2594,0.0603,0.6324,0.3679,0.2796,641.5759,0.0000,0.0000,0.7406,0.9397,0.7129,20.8227
113.5000,24,187,12,55,0.3031,0.0606,0.6667,0.4168,0.3258,641.5759,0.0000,0.0000,0.6969,0.9394,0.7273,22.1558
114.0000,24,186,13,55,0.3023,0.0694,0.6355,0.4097,0.3071,641.5759,0.0000,0.0000,0.6977,0.9306,0.7212,21.9115
114.5000,21,187,12,58,0.2719,0.0628,0.6339,0.3805,0.2880,641.5759,0.0000,0.0000,0.7281,0.9372,0.7154,18.0965
115.0000,24,188,11,55,0.3023,0.0591,0.6719,0.4170,0.3283,641.5759,0.0000,0.0000,0.6977,0.9409,0.7281,19.1663
115.5000,23,188,11,56,0.2938,0.0594,0.6643,0.4074,0.3187,641.5759,0.0000,0.0000,0.7063,0.9406,0.7250,21.6893
116.0000,22,187,12,57,0.2836,0.0619,0.6471,0.3944,0.3026,641.5759,0.0000,0.0000,0.7164,0.9381,0.7199,21.1563
116.5000,23,186,13,56,0.2953,0.0678,0.6353,0.4032,0.3028,641.5759,0.0000,0.0000,0.7047,0.9322,0.7199,18.9540
117.0000,24,187,12,55,0.3086,0.0644,0.6572,0.4200,0.3237,641.5759,0.0000,0.0000,0.6914,0.9356,0.7266,20.0549
117.5000,25,187,12,54,0.3227,0.0638,0.6694,0.4354,0.3394,641.5759,0.0000,0.0000,0.6773,0.9363,0.7317,21.3885
118.0000,23,187,12,56,0.2898,0.0603,0.6578,0.4024,0.3126,641.5759,0.0000,0.0000,0.7102,0.9397,0.7231,21.1847
118.5000,24,187,12,55,0.3016,0.0641,0.6531,0.4126,0.3171,641.5759,0.0000,0.0000,0.6984,0.9359,0.7245,20.2711
