time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,hausdorff_m,dtw_m,poi_retention
85.0000,10,190,10,70,0.1250,0.0500,0.5000,0.2000,0.1316,265.7426,0.8750,0.1250,0.5571,0.9500,0.6750,23.9156,265.7426,253.7426,0.7345
85.5000,16,190,10,64,0.2000,0.0500,0.6154,0.3019,0.2335,273.6313,0.8000,0.2000,0.5439,0.9500,0.7000,25.0281,273.6313,261.6313,0.7466
86.0000,15,193,7,65,0.1875,0.0350,0.6818,0.2941,0.2560,262.4411,0.8125,0.1875,0.5626,0.9650,0.7058,26.1892,262.4411,250.4411,0.7476
86.5000,12,193,7,68,0.1500,0.0350,0.6316,0.2424,0.2066,271.1087,0.8500,0.1500,0.5482,0.9650,0.6933,24.9243,271.1087,259.1087,0.7270
87.0000,13,187,13,67,0.1625,0.0650,0.5000,0.2453,0.1518,264.2687,0.8375,0.1625,0.5596,0.9350,0.6775,26.4084,264.2687,252.2687,0.7316
87.5000,11,190,10,69,0.1375,0.0500,0.5238,0.2178,0.1501,265.7280,0.8625,0.1375,0.5571,0.9500,0.6792,23.4052,265.7280,253.7280,0.7362
88.0000,12,190,10,68,0.1500,0.0500,0.5455,0.2353,0.1679,262.7578,0.8500,0.1500,0.5621,0.9500,0.6833,25.4284,262.7578,250.7578,0.7475
88.5000,16,191,9,64,0.2000,0.0450,0.6400,0.3048,0.2456,273.1312,0.8000,0.2000,0.5448,0.9550,0.7033,24.0236,273.1312,261.1312,0.7485
89.0000,12,184,16,68,0.1500,0.0800,0.4286,0.2222,0.1054,272.4549,0.8500,0.1500,0.5459,0.9200,0.6633,27.0136,272.4549,260.4549,0.7424
89.5000,11,185,15,69,0.1375,0.0750,0.4231,0.2075,0.0973,262.1089,0.8625,0.1375,0.5632,0.9250,0.6625,22.8151,262.1089,250.1089,0.7344
90.0000,14,187,13,66,0.1750,0.0650,0.5185,0.2617,0.1683,267.9130,0.8250,0.1750,0.5535,0.9350,0.6817,27.6644,267.9130,255.9130,0.7358
90.5000,14,185,15,66,0.1750,0.0750,0.4828,0.2569,0.1483,263.6263,0.8250,0.1750,0.5606,0.9250,0.6750,22.6085,263.6263,251.6263,0.7497
91.0000,11,189,11,69,0.1375,0.0550,0.5000,0.2157,0.1385,262.6969,0.8625,0.1375,0.5622,0.9450,0.6758,24.5092,262.6969,250.6969,0.7367
91.5000,13,183,17,67,0.1625,0.0850,0.4333,0.2364,0.1132,270.3324,0.8375,0.1625,0.5494,0.9150,0.6642,23.6228,270.3324,258.3324,0.7407
92.0000,8,191,9,72,0.1000,0.0450,0.4706,0.1649,0.1040,270.2704,0.9000,0.1000,0.5495,0.9550,0.6700,27.1676,270.2704,258.2704,0.7493
92.5000,9,182,18,71,0.1125,0.0900,0.3333,0.1682,0.0344,264.1742,0.8875,0.1125,0.5597,0.9100,0.6442,22.3155,264.1742,252.1742,0.7267
93.0000,13,190,10,67,0.1625,0.0500,0.5652,0.2524,0.1851,268.2754,0.8375,0.1625,0.5529,0.9500,0.6875,27.1508,268.2754,256.2754,0.7294
93.5000,16,186,14,64,0.2000,0.0700,0.5333,0.2909,0.1899,268.5374,0.8000,0.2000,0.5524,0.9300,0.6867,23.8457,268.5374,256.5374,0.7320
94.0000,11,194,6,69,0.1375,0.0300,0.6471,0.2268,0.2034,273.2676,0.8625,0.1375,0.5446,0.9700,0.6925,24.8523,273.2676,261.2676,0.7504
94.5000,15,191,9,65,0.1875,0.0450,0.6250,0.2885,0.2300,263.5798,0.8125,0.1875,0.5607,0.9550,0.6992,26.2921,263.5798,251.5798,0.7344
95.0000,10,186,14,70,0.1250,0.0700,0.4167,0.1923,0.0888,267.6130,0.8750,0.1250,0.5540,0.9300,0.6617,27.1936,267.6130,255.6130,0.7505
